SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
8925-25,RIR2B,Ribonucleoside-diphosphate reductase subunit M2 B,Q7LG56,RRM2B,,,,,,,,,,,,,,,,
21828-6,RPN2,Ribophorin II,P04844,RPN2,,,,,,,,,,,,,,,,
12333-87,RPIA,Ribose-5-phosphate isomerase,P49247,RPIA,,,X,,,,,,,,,,,,,
11381-56,PRPS1,Ribose-phosphate pyrophosphokinase 1,P60891,PRPS1,,,X,,,,,,,,,,,,,
18329-4,PRPS2,Ribose-phosphate pyrophosphokinase 2,P11908,PRPS2,,,,,,,,,,,,,,,,
12329-21,KS6A1,Ribosomal protein S6 kinase alpha-1,Q15418,RPS6KA1,,X,,,,,,,,,,,,,,
3469-74,RPS6KA3,Ribosomal protein S6 kinase alpha-3,P51812,RPS6KA3,,,,X,,,,,,,,,,,,
12688-115,KS6A6,Ribosomal protein S6 kinase alpha-6,Q9UK32,RPS6KA6,,,,,,,,,,,,,,,,
11817-1,KS6B1,Ribosomal protein S6 kinase beta-1,P23443,RPS6KB1,,,,,,,,,,,,,,,,
15608-5,KS6B1,Ribosomal protein S6 kinase beta-1,P23443,RPS6KB1,X,X,X,,X,,,,,,,,,,X,X
8962-48,KS6B1,Ribosomal protein S6 kinase beta-1,P23443,RPS6KB1,,,,,,,,,,,,,,,,
25112-6,KS6B2,Ribosomal protein S6 kinase beta-2,Q9UBS0,RPS6KB2,,,,X,,,,,,,,,,,,
20937-43,NEP1,Ribosomal RNA small subunit methyltransferase NEP1,Q92979,EMG1,,X,,,,,,,,,,,,,,
7018-10,TSR3,Ribosome biogenesis protein TSR3 homolog,Q9UJK0,TSR3,,,,,,,,,,,,,,,,
3866-7,SBDS,Ribosome maturation protein SBDS,Q9Y3A5,SBDS,,,,,,,,,,X,,,X,,X,X
9913-4,RRBP1,Ribosome-binding protein 1,Q9P2E9,RRBP1,,,,,,,,,,,,,,,,
12355-223,RRFM,"Ribosome-recycling factor, mitochondrial",Q96E11,MRRF,,,,,,,,,,,,,,,,
9754-33,Quinone reductase 2,Ribosyldihydronicotinamide dehydrogenase [quinone],P16083,NQO2,,,,X,,,,,,,,,,,,
12646-2,RPE,Ribulose-phosphate 3-epimerase,Q96AT9,RPE,,,,,,,,,,,,,,,,
13603-7,RFESD,Rieske domain-containing protein,Q8TAC1,RFESD,,,,,,,,,,,,,,,,
24496-26,RIPL1,RILP-like protein 1,Q5EBL4,RILPL1,,,,,,,,,,,,,,,,
24655-23,RIPL2,RILP-like protein 2,Q969X0,RILPL2,,,,,,,,,,,,,,,,
11160-56,RN122,RING finger protein 122,Q9H9V4,RNF122,,,,,,,,,,,,,,,,
23286-2,RN141,RING finger protein 141,Q8WVD5,RNF141,,,,,,,,,,,,,,,,
7742-11,RN148:region 1,RING finger protein 148:region 1,Q8N7C7,RNF148,,,,,,,,,,,,,,,,
9955-40,RN148:region 2,RING finger protein 148:region 2,Q8N7C7,RNF148,,,,,,,,,,,,,,,,
9774-59,RN150,RING finger protein 150,Q9ULK6,RNF150,,,,,,,,,,,,,,,,
9064-12,RN215:CD,RING finger protein 215:Cytoplasmic domain,Q9Y6U7,RNF215,,,,,,,,,,,,,,,,
7758-217,RN215:ECD,RING finger protein 215:Extracellular domain,Q9Y6U7,RNF215,,,,,,,,,,,,,,,,
9583-17,RNF24,RING finger protein 24,Q9Y225,RNF24,,,,,,,,,,,,,,,,
20969-114,RYBP,RING1 and YY1-binding protein,Q8N488,RYBP,,,,,,,,,,,,,,,,
22549-73,RIP,RIP,Q13546,RIPK1,,,,,,,,,,,,,,,,
12781-2,TRBP2,RISC-loading complex subunit TARBP2,Q15633,TARBP2,,,,,,,,,,,,,,,,
21369-15,RTCA,RNA 3'-terminal phosphate cyclase,O00442,RTCA,,,,,,,,,,,,,,,,
11462-8,RBM9,RNA binding protein fox-1 homolog 2,O43251,RBFOX2,,,,,,,,,,,,,,,,
11459-81,ELL,RNA polymerase II elongation factor ELL,P55199,ELL,,,,,,,,,,,,,,,,
11494-4,ELL2,RNA polymerase II elongation factor ELL2,O00472,ELL2,,,,,,,,,,,,,,,,
22129-55,ELL3,RNA polymerase II elongation factor ELL3,Q9HB65,ELL3,,,,,,,,,,,,,,,,
13566-2,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,Q9NP77,SSU72,,,,,,,,,,,,,,,,
7741-111,RTF1,RNA polymerase-associated protein RTF1 homolog,Q92541,RTF1,,,,,,,,,,,,,,,,
22547-17,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",P29558,RBMS1,,,,,,,,,,,,,,,,
11380-84,RBM24,RNA-binding protein 24,Q9BX46,RBM24,,,,,,,,,,,,,,,,
12747-89,RBM3,RNA-binding protein 3,P98179,RBM3,,,,X,,,,,,,,,,,,
4284-18,RBM39,RNA-binding protein 39,Q14498,RBM39,,,,,,,,,,,,,,,,
23361-20,RBM4,RNA-binding protein 4,Q9BWF3,RBM4,,,,,,,,,,,,,,,,
12814-17,RBM40,RNA-binding protein 40,Q96LT9,RNPC3,,,,,,,,,,,,,,,,
23690-228,RBM41,RNA-binding protein 41,Q96IZ5,RBM41,,,,,,,,,,,,,,,,
12988-49,EWS,RNA-binding protein EWS,Q01844,EWSR1,,,X,X,,,,,,,,,,,,
21366-7,MSI2H,RNA-binding protein Musashi homolog 2,Q96DH6,MSI2,,,,,,,,,,,,,,,,
12557-18,NOVA1,RNA-binding protein Nova-1,P51513,NOVA1,,,,,,,,,,,,,,,,
23300-3,RBPS2,RNA-binding protein with multiple splicing 2,Q6ZRY4,RBPMS2,,,,,,,,,,,,,,,,
22545-20,RALYL,RNA-binding Raly-like protein,Q86SE5,RALYL,,,,X,,,,,,,,,,,,
25453-57,ROP1B,Ropporin-1B,Q9BZX4,ROPN1B,,,,,,,,,,,,,,,,
5740-17,ROBO1,Roundabout homolog 1,Q9Y6N7,ROBO1,,,,X,,,,,,,,,,,,
22578-17,ROBO2,Roundabout homolog 2,Q9HCK4,ROBO2,,X,,X,,,,,,X,,,X,,X,X
5116-62,ROBO2,Roundabout homolog 2,Q9HCK4,ROBO2,,,,,,,X,,,X,,,X,,X,X
5117-14,ROBO3,Roundabout homolog 3,Q96MS0,ROBO3,,,X,,,,,,,X,,,X,,X,X
16297-14,ROBO4,Roundabout homolog 4,Q8WZ75,ROBO4,X,,,,,,,,,,,,,,,
9232-1,ROBO4,Roundabout homolog 4,Q8WZ75,ROBO4,,,,,,,,,,,,,,,,
21219-7,RPAIN,RPA-interacting protein,Q86UA6,RPAIN,,,,,,,,,,,,,,,,
13994-1,FBRL,rRNA 2'-O-methyltransferase fibrillarin,P22087,FBL,,X,,X,,,,,,,,,,,,
21319-196,MRM1,"rRNA methyltransferase 1, mitochondrial",Q6IN84,MRM1,,,,,,,,,,,,,,,,
21161-16,MRM2,"rRNA methyltransferase 2, mitochondrial",Q9UI43,MRM2,,,,,,,,,,,,,,,,
16614-27,RSPO1,R-spondin-1,Q2MKA7,RSPO1,,,,,,,,,,,,,,,,
6240-70,RSPO1,R-spondin-1,Q2MKA7,RSPO1,,,,,,,,,,,,,,,,
4566-24,RSPO2,R-spondin-2,Q6UXX9,RSPO2,,,,,,,,,,,,,,,,
8409-3,RSPO2,R-spondin-2,Q6UXX9,RSPO2,,,,,,,,,,,,,,,,
13094-75,RSPO3,R-spondin-3,Q9BXY4,RSPO3,,,,X,,,,,,X,,,X,,X,X
8427-118,RSPO3,R-spondin-3,Q9BXY4,RSPO3,,,,,,,,,,X,,,X,,X,X
8464-31,RSPO4,R-spondin-4,Q2I0M5,RSPO4,,,,,,,,,,,,,,,,
11425-31,RUFY1,RUN and FYVE domain-containing protein 1,Q96T51,RUFY1,,,,,,,,,,,,,,,,
11138-16,RUNX3,Runt-related transcription factor 3,Q13761,RUNX3,,,X,X,,,,,,,,,,,,
12365-108,RUVB1,RuvB-like 1,Q9Y265,RUVBL1,,,,,,,,,,,,,,,,
21323-2,RWDD1,RWD domain-containing protein 1,Q9H446,RWDD1,,,,,,,,,,,,,,,,
21188-38,RWDD4,RWD domain-containing protein 4,Q6NW29,RWDD4,,,,,,,,,,,,,,,,
21574-106,S100A15,S100 calcium-binding protein A15,Q86SG5,S100A7A,,,,,,,,,X,,,,X,,X,
25436-44,SCPDL,Saccharopine dehydrogenase-like oxidoreductase,Q8NBX0,SCCPDH,,,,,,,,,,,,,,,,
23407-9,SAST,"S-acyl fatty acid synthase thioesterase, medium chain",Q9NV23,OLAH,,,,,,,,,,,,,,,,
21247-16,METK1,S-adenosylmethionine synthase isoform type-1,Q00266,MAT1A,,,X,,,,,,,,,,,,,
19788-6,METK2,S-adenosylmethionine synthetase isoform type-2,P31153,MAT2A,,,,,,,,,,,,,,,,
21923-24,SAE1/ SAE2,SAE1/SAE2,Q9UBE0|Q9UBT2,SAE1|UBA2,,,,,,,,,,,,,,,,
8320-5,SLTM,SAFB-like transcription modulator,Q9NWH9,SLTM,,,,,,,,,,,,,,,,
12788-6,SGF29,SAGA-associated factor 29 homolog,Q96ES7,SGF29,,,,,,,,,,,,,,,,
21196-29,SAMN1,SAM domain-containing protein SAMSN-1,Q9NSI8,SAMSN1,,,,,,,,,,,,,,,,
10012-5,SPDEF,SAM pointed domain-containing Ets transcription factor,O95238,SPDEF,,,,,,,,,,,,,,,,
10940-25,SRCA,Sarcalumenin,Q86TD4,SRL,,,,,,,,,,,,,,,,
7191-32,SLMAP,Sarcolemmal membrane-associated protein,Q14BN4,SLMAP,X,,,,,,,,,,,,,,,
6584-1,SRCH,Sarcoplasmic reticulum histidine-rich calcium-binding protein,P23327,HRC,X,,,,,,,,,,,,,,,
13510-7,AT2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Q93084,ATP2A3,,,X,X,,,,,,,,,,,,
23275-9,SSPN,Sarcospan,Q14714,SSPN,X,,,,,,,,,,,,,,,
23296-29,SARP-3,SARP-3,Q5T4F7,SFRP5,,,,X,,,,,,,,,,,,
25461-3,ARRS,S-arrestin,P10523,SAG,,,,,,,,,,,,,,,,
6594-64,SMDC1,SAYSvFN domain-containing protein 1,Q9NPB0,SAYSD1,,,,,,,,,,,,,,,,
17800-33,SCAND1,SCAN domain-containing protein 1,P57086,SCAND1,,,,,,,,,,,,,,,,
20106-80,DCPS,Scavenger mRNA-decapping enzyme DcpS,Q96C86,DCPS,,,,,,,,,,,,,,,,
9569-14,SCAR3:region 1,Scavenger receptor class A member 3:region 1,Q6AZY7,SCARA3,,,,,,,,,,,,,,,,
11292-13,SCAR3:region 2,Scavenger receptor class A member 3:region 2,Q6AZY7,SCARA3,,,,,,,,,,,,,,,,
10419-1,SCAR5,Scavenger receptor class A member 5,Q6ZMJ2,SCARA5,,,,,,,,,,,,,,,,
20534-6,SCRB1,Scavenger receptor class B member 1,Q8WTV0,SCARB1,,X,X,X,X,,,,,,,,,,X,X
5129-12,SREC-I,Scavenger receptor class F member 1,Q14162,SCARF1,,,,,,,,,,,,,,,,
9925-56,SREC-II:CD,Scavenger receptor class F member 2:Cytoplasmic domain,Q96GP6,SCARF2,,,,,,,,,,,,,,,,
8956-96,SREC-II:ECD,Scavenger receptor class F member 2:Extracellular domain,Q96GP6,SCARF2,,,,,,,,,,,,,,,,
5028-59,sCD163,Scavenger receptor cysteine-rich type 1 protein M130,Q86VB7,CD163,X,X,X,,X,,,,,,,,,,X,X
23632-22,SLNL1,Schlafen-like protein 1,Q499Z3,SLFNL1,,,,,,,,,,,,,,,,
13101-60,SOST,Sclerostin,Q9BQB4,SOST,,,,,,,,,X,,,,X,,X,
5729-27,SOST,Sclerostin,Q9BQB4,SOST,,,,,,,,,X,,,,X,,X,
8237-56,SOSD1,Sclerostin domain-containing protein 1,Q6X4U4,SOSTDC1,,,,,,,,,X,,,,X,,X,
14175-78,SCP2D,SCP2 sterol-binding domain-containing protein 1,Q9UJQ7,SCP2D1,,,,,,,,,,,,,,,,
24898-39,SCFD1,Sec1 family domain-containing protein 1,Q8WVM8,SCFD1,,,X,,,,,,,,,,,,,
25497-35,S14L4,SEC14-like protein 4,Q9UDX3,SEC14L4,,,,,,,,,,,,,,,,
24923-27,SCRN3,Secernin-3,Q0VDG4,SCRN3,,,,,,,,,,,,,,,,
10894-25,Secretagogin,Secretagogin,O76038,SCGN,,,,,,,,,,,,,,,,
15305-7,Secretagogin,Secretagogin,O76038,SCGN,,,,,,,,,,,,,,,,
13093-6,SECTM1,Secreted and transmembrane protein 1,Q8WVN6,SECTM1,,,,,,,,,,X,,,X,,X,X
14042-11,SARP-2,Secreted frizzled-related protein 1,Q8N474,SFRP1,,,,,,,,,,X,,,X,,X,X
3221-54,SARP-2,Secreted frizzled-related protein 1,Q8N474,SFRP1,X,,,X,,,,,,X,,,X,,X,X
7751-121,SARP-1,Secreted frizzled-related protein 2,Q96HF1,SFRP2,,,,X,,,,,,,,,,,,
13740-51,sFRP-3,Secreted frizzled-related protein 3,Q92765,FRZB,,,,,,,,,,,,,,,,
2841-13,sFRP-3,Secreted frizzled-related protein 3,Q92765,FRZB,,,,,,,,,,,,,,,,
17447-52,SFRP4,Secreted frizzled-related protein 4,Q6FHJ7,SFRP4,,,X,,,,,,,,,,,,,
9284-25,SFRP4,Secreted frizzled-related protein 4,Q6FHJ7,SFRP4,,,,,,,,,,,,,,,,
3728-52,Secretin,Secretin,P09683,SCT,X,,,X,,,,,,,,,,,,
21562-3,SG1D1,Secretoglobin family 1D member 1,O95968,SCGB1D1,,,,,,,,,,,,,,,,
6508-68,SG1D2,Secretoglobin family 1D member 2,O95969,SCGB1D2,,,,,,,,,,,,,,,,
6252-62,Secretoglobin family 3A member 1,Secretoglobin family 3A member 1,Q96QR1,SCGB3A1,,,,,,,,,,,,,,,,
8235-48,SCG1,Secretogranin-1,P05060,CHGB,,,,,,,,,,,,,,,,
7957-2,SCG3,Secretogranin-3,Q8WXD2,SCG3,,,,,,,,,,,,,,,,
13509-5,SCAM5,Secretory carrier-associated membrane protein 5,Q8TAC9,SCAMP5,,,,,,,,,,,,,,,,
10916-44,PLA2R,Secretory phospholipase A2 receptor,Q13018,PLA2R1,,,,,,,,,,,,,,,,
17727-1,Securin,Securin,O95997,PTTG1,,X,,,,,,,,,,,,,,
13575-40,DVL2,Segment polarity protein dishevelled homolog DVL-2,O14641,DVL2,,,,,,,,,,,,,,,,
19563-3,SEZ6L,Seizure 6-like protein,Q9BYH1,SEZ6L,,,,X,,,,,,,,,,,,
3867-49,SE6L2,Seizure 6-like protein 2,Q6UXD5,SEZ6L2,,,,,,,,,,X,,,X,,X,X
14083-25,SPS1,"Selenide, water dikinase 1",P49903,SEPHS1,,,,,,,,,,,,,,,,
25076-2,Selenium-binding protein 1,Selenium-binding protein 1,Q13228,SELENBP1,,,X,X,,,,,,,,,,,,
21537-33,SCLY,Selenocysteine lyase,Q96I15,SCLY,,,,,,,,,,,,,,,,
17319-1,SELH,Selenoprotein H,Q8IZQ5,SELENOH,,,,,,,,,,,,,,,,
15336-7,SELM,Selenoprotein M,Q8WWX9,SELENOM,,,,,,,,,,,,,,,,
11286-78,SELS,Selenoprotein S,Q9BQE4,SELENOS,,,,,,,,,,,,,,,,
18310-26,SELW,Selenoprotein W,P63302,SELENOW,,,,,,,,,,,,,,,,
3222-11,Semaphorin 3A,Semaphorin-3A,Q14563,SEMA3A,,,,,,,,,,X,,,X,,X,X
5667-3,SEM3B,Semaphorin-3B,Q13214,SEMA3B,,,,,,,,,,,,,,,,
6448-36,Sema E,Semaphorin-3C,Q99985,SEMA3C,X,,,,,,,,,,,,,,,
10670-26,Semaphorin 3E,Semaphorin-3E,O15041,SEMA3E,,,,,,,,,,X,,,X,,X,X
5363-51,Semaphorin 3E,Semaphorin-3E,O15041,SEMA3E,,,,,,,,,,X,,,X,,X,X
5628-21,SEM3G,Semaphorin-3G,Q9NS98,SEMA3G,,,,,,,,,,,,,,,,
16915-153,SEM4A,Semaphorin-4A,Q9H3S1,SEMA4A,,,X,X,,,,,,,,,,,,
9805-51,SEM4B,Semaphorin-4B,Q9NPR2,SEMA4B,,,,,,,,,,,X,,X,,X,
7923-41,SEM4C,Semaphorin-4C,Q9C0C4,SEMA4C,,,,,,,,,,,,,,,,
5737-61,SEM4D,Semaphorin-4D,Q92854,SEMA4D,,,,,,,,,,,,,,,,
9932-49,SEM4F,Semaphorin-4F,O95754,SEMA4F,,,,,,,,,,,,,,,,
20540-65,SEM4G,Semaphorin-4G,Q9NTN9,SEMA4G,,,,,,,,,,,,,,,,
13132-14,SEM5A,Semaphorin-5A,Q13591,SEMA5A,,,,,,,,,,X,,,X,,X,X
20527-47,SEM5B,Semaphorin-5B,Q9P283,SEMA5B,,,,,,,,,,,,,,,,
5122-92,Semaphorin-6A,Semaphorin-6A,Q9H2E6,SEMA6A,,,,,,,,,,X,,,X,,X,X
7945-10,Semaphorin-6A,Semaphorin-6A,Q9H2E6,SEMA6A,,,,,,,,,,X,,,X,,X,X
5121-3,SEM6B,Semaphorin-6B,Q9H3T3,SEMA6B,,,,,,,,,,X,,,X,,X,X
7202-107,SEMA6C,Semaphorin-6C,Q9H3T2,SEMA6C,,,,,,,,,,,,,,,,
14597-5,SEM6C,"Semaphorin-6C, cytoplasmic",Q9H3T2,SEMA6C,,,,,,,,,,,,,,,,
20530-2,SEM6D,Semaphorin-6D,Q8NFY4,SEMA6D,,,,,,,,,,,,,,,,
7019-13,Semaphorin-7A,Semaphorin-7A,O75326,SEMA7A,,,,,,,,,,,,,,,,
7115-5,Semenogelin,Semenogelin-1,P04279,SEMG1,,,,,,,,,,,,,,,,
21009-28,SNTAN,Sentan,A6NMZ2,SNTN,,,,,,,,,,,,,,,,
21715-40,SENP1,Sentrin-specific protease 1,Q9P0U3,SENP1,,,,,,,,,,,,,,,,
21758-65,SENP2,Sentrin-specific protease 2,Q9HC62,SENP2,,,,,,,,,,,,,,,,
12626-6,SENP7,Sentrin-specific protease 7,Q9BQF6,SENP7,,,,,,,,,,,,,,,,
20966-7,SENP8,Sentrin-specific protease 8,Q96LD8,SENP8,,,,,,,,,,,,,,,,
9287-6,SPRE,Sepiapterin reductase,P35270,SPR,,,X,,,,,,,,,,,,,
23381-8,SEPT1,Septin-1,Q8WYJ6,SEPTIN1,,,,,,,,,,,,,,,,
12690-33,SEP10,Septin-10,Q9P0V9,SEPTIN10,,,,,,,,,,,,,,,,
12620-3,Septin-11,Septin-11,Q9NVA2,SEPTIN11,,,X,,,,,,,,,,,,,
19742-3,Septin-5,Septin-5,Q99719,SEPTIN5,,,,,,,,,,,,,,,,
17693-2,Septin-6,Septin-6,Q14141,SEPTIN6,,,,,,,,,,,,,,,,
15448-47,SQSTM,Sequestosome-1,Q13501,SQSTM1,,,X,,,,,,,,,,,,,
7695-106,SQSTM,Sequestosome-1,Q13501,SQSTM1,,,,,,,,,,,,,,,,
19251-56,Platelet proteoglycan,Serglycin,P10124,SRGN,,,,,,,,,,,,,,,,
17777-31,SDSL,Serine dehydratase-like,Q96GA7,SDSL,,,,,,,,,,,,,,,,
12334-25,cSHMT,"Serine hydroxymethyltransferase, cytosolic",P34896,SHMT1,,X,,X,,,,,,,,,,,,
12691-44,GLYM,"Serine hydroxymethyltransferase, mitochondrial",P34897,SHMT2,,,,,,,,,,,,,,,,
7886-26,SPTC1,Serine palmitoyltransferase 1,O15269,SPTLC1,,,,,,,,,,,,,,,,
7267-2,LCB2,Serine palmitoyltransferase 2,O15270,SPTLC2,,,,,,,,,,,,,,,,
15535-3,Marapsin,Serine protease 27,Q9BQR3,PRSS27,,,,,,,,,,X,,,X,,X,X
3624-3,Marapsin,Serine protease 27,Q9BQR3,PRSS27,,,,,,,,,,X,,,X,,X,X
8351-17,PRS57,Serine protease 57,Q6UWY2,PRSS57,,,,,,,,,,,,,,,,
15594-47,HTRA1,Serine protease HTRA1,Q92743,HTRA1,X,,,,,,,,,,,,,,,
3317-33,HTRA2,"Serine protease HTRA2, mitochondrial",O43464,HTRA2,X,,,,,,,,,,,,,,,
8243-55,TATI,Serine protease inhibitor Kazal-type 1,P00995,SPINK1,,,X,,,,,,,,,,,,,
10624-45,ISK13,Serine protease inhibitor Kazal-type 13,Q1W4C9,SPINK13,,,,,,,,,,,,,,,,
8587-21,ISK52,Serine protease inhibitor Kazal-type 14,Q6IE38,SPINK14,,,,,,,,,,,,,,,,
13405-61,ISK2,Serine protease inhibitor Kazal-type 2,P20155,SPINK2,,,,,,,,,,,,,,,,
19213-1,ISK4,Serine protease inhibitor Kazal-type 4,O60575,SPINK4,,,,,,,,,,,,,,,,
8028-22,SPINK5,Serine protease inhibitor Kazal-type 5,Q9NQ38,SPINK5,,X,,,,,,,,,,,,,,
5731-1,ISK6,Serine protease inhibitor Kazal-type 6,Q6UWN8,SPINK6,,,,,,,,,,,,,,,,
10974-20,ISK7,Serine protease inhibitor Kazal-type 7,P58062,SPINK7,,,,,,,,,,,,,,,,
7962-11,ISK8,Serine protease inhibitor Kazal-type 8,P0C7L1,SPINK8,,,,,,,,,,,,,,,,
8042-88,ISK9,Serine protease inhibitor Kazal-type 9,Q5DT21,SPINK9,,,,,,,,,,,,,,,,
11573-3,SRSF6,Serine/arginine-rich splicing factor 6,Q13247,SRSF6,,,,,,,,,,,,,,,,
12987-12,SRSF7,Serine/arginine-rich splicing factor 7,Q16629,SRSF7,,,,,,,,,,,,,,,,
21569-49,STK10,Serine/threonine kinase 10,O94804,STK10,,,,,,,,,,,,,,,,
21349-2,STYX,Serine/threonine/tyrosine-interacting protein,Q8WUJ0,STYX,,,,,,,,,,,,,,,,
3471-49,STK16,Serine/threonine-protein kinase 16,O75716,STK16,,,,,,,,,,X,,,X,,X,X
5249-31,DRAK2,Serine/threonine-protein kinase 17B,O94768,STK17B,,,,,,,,,,X,,,X,,X,X
8359-149,DRAK2,Serine/threonine-protein kinase 17B,O94768,STK17B,,,,,,,,,,X,,,X,,X,X
8399-6,DRAK2,Serine/threonine-protein kinase 17B,O94768,STK17B,,,,,,,,,,X,,,X,,X,X
12617-2,STK24,Serine/threonine-protein kinase 24,Q9Y6E0,STK24,,,,,,,,,,,,,,,,
21389-32,STK3,Serine/threonine-protein kinase 3,Q13188,STK3,,,,,,,,,,,,,,,,
22847-18,STK4,Serine/threonine-protein kinase 4,Q13043,STK4,X,X,X,,X,,,,,,,,,,X,X
12583-77,ARAF,Serine/threonine-protein kinase A-Raf,P10398,ARAF,,,,X,,,,,,,,,,,,
15669-7,BRAF1,Serine/threonine-protein kinase B-raf,P15056,BRAF,X,X,X,X,X,,,,,,,,,,X,X
9790-28,BR serine/threonine kinase 2,Serine/threonine-protein kinase BRSK2,Q8IWQ3,BRSK2,,,,,,,,,,,,,,,,
2853-68,CHK1,Serine/threonine-protein kinase Chk1,O14757,CHEK1,,,,X,,,,,,,,,,,,
19328-51,Chk2,Serine/threonine-protein kinase Chk2,O96017,CHEK2,,,,,,,,,,X,,,X,,X,X
3360-50,Chk2,Serine/threonine-protein kinase Chk2,O96017,CHEK2,,X,X,X,X,,,,,X,,,X,,X,X
17156-72,DCAK1,Serine/threonine-protein kinase DCLK1,O15075,DCLK1,,,,,,,,,,,,,,,,
7826-1,DCLK3,Serine/threonine-protein kinase DCLK3,Q9C098,DCLK3,,,,X,,,,,,,,,,,,
12706-2,MRCKA,Serine/threonine-protein kinase MRCK alpha,Q5VT25,CDC42BPA,,,,,,,,,,,,,,,,
3629-60,MRCKB,Serine/threonine-protein kinase MRCK beta,Q9Y5S2,CDC42BPB,,,,,,,,,,X,,,X,,X,X
12562-1,PKN1,Serine/threonine-protein kinase N1,Q16512,PKN1,,,,,,,,,,,,,,,,
25948-18,PKN2,Serine/threonine-protein kinase N2,Q16513,PKN2,,,,,,,,,,,,,,,,
12703-6,NEK7,Serine/threonine-protein kinase Nek7,Q8TDX7,NEK7,,,,,,,,,,,,,,,,
20116-30,OXSR1,Serine/threonine-protein kinase OSR1,O95747,OXSR1,X,,,,,,,,,,,,,,,
3387-1,PAK3,Serine/threonine-protein kinase PAK 3,O75914,PAK3,,,,,,,,,,,,,,,,
13719-19,PAK4,Serine/threonine-protein kinase PAK 4,O96013,PAK4,,,,,,,,,,,,,,,,
3388-58,PAK7,Serine/threonine-protein kinase PAK 5,Q9P286,PAK5,,,,,,,,,,X,,,X,,X,X
3827-22,PAK6,Serine/threonine-protein kinase PAK 6,Q9NQU5,PAK6,,,,,,,,,,X,,,X,,X,X
5359-65,PIM1,Serine/threonine-protein kinase pim-1,P11309,PIM1,,X,,X,,,,,,,,,,,,
20081-14,PIM2,Serine/threonine-protein kinase Pim-2,Q9P1W9,PIM2,,,,,,,,,,,,,,,,
3394-81,PLK-1,Serine/threonine-protein kinase PLK1,P53350,PLK1,,,,X,,,,,,X,,,X,,X,X
16318-12,ALK-1,Serine/threonine-protein kinase receptor R3,P37023,ACVRL1,X,,,,,,,,,X,,,X,,X,X
2969-11,ALK-1,Serine/threonine-protein kinase receptor R3,P37023,ACVRL1,,,,,,,,,,X,,,X,,X,X
21144-160,SGK1,Serine/threonine-protein kinase Sgk1,O00141,SGK1,,X,,X,,,,,,,,,,,,
10042-8,SGK3,Serine/threonine-protein kinase Sgk3,Q96BR1,SGK3,,,,,,,,,,,,,,,,
22432-83,SRPK1,Serine/threonine-protein kinase SRPK1,Q96SB4,SRPK1,,,,,,,,,,,,,,,,
21435-143,SRPK2,Serine/threonine-protein kinase SRPK2,P78362,SRPK2,,X,,,,,,,,,,,,,,
3400-49,TBK1,Serine/threonine-protein kinase TBK1,Q9UHD2,TBK1,,X,X,,X,,,,,X,,,X,,X,X
22414-127,TLK1,Serine/threonine-protein kinase tousled-like 1,Q9UKI8,TLK1,,,,,,,,,,,,,,,,
12437-18,ULK3,Serine/threonine-protein kinase ULK3,Q6PHR2,ULK3,,,,,,,,,,,,,,,,
12553-5,VRK1,Serine/threonine-protein kinase VRK1,Q99986,VRK1,,,,,,,,,,,,,,,,
25962-51,WNK1,Serine/threonine-protein kinase WNK1,Q9H4A3,WNK1,X,,,,,,,,,,,,,,,
5493-17,WNK3,Serine/threonine-protein kinase WNK3,Q9BYP7,WNK3,,,,,,,,,,X,,,X,,X,X
11229-16,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,O75460,ERN1,,,,X,,,,,,,,,,,,
22533-95,PP1RA,Serine/threonine-protein phosphatase 1 regulatory subunit 10,Q96QC0,PPP1R10,,,,,,,,,,,,,,,,
13622-16,2A5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Q15172,PPP2R5A,,,,,,,,,,,,,,,,
22068-5,2A5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,Q14738,PPP2R5D,,,,,,,,,,,,,,,,
12621-55,PP2AAA,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,P30153,PPP2R1A,,,,,,,,,,,,,,,,
24717-26,PTPA,Serine/threonine-protein phosphatase 2A regulatory subunit B',Q15257,PTPA,,,,,,,,,,,,,,,,
13665-35,"PP2A, subunit B",Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,Q06190,PPP2R3A,X,,,,,,,,,,,,,,,
22534-14,PP4C,Serine/threonine-protein phosphatase 4 catalytic subunit,P60510,PPP4C,,,,,,,,,,,,,,,,
10866-60,P4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,Q6IN85,PPP4R3A,,,,,,,,,,,,,,,,
